id,name,风格,风格_multi,风格_证据,风格_关键词,产品,产品_multi,产品_证据,产品_关键词,工艺,工艺_multi,工艺_证据,工艺_关键词,风味,风味_multi,风味_证据,风味_关键词,经营,经营_multi,经营_证据,经营_关键词,价格带,价格_置信,区,商圈,评分,评论数,外卖,团购,分店数,菜品摘要,brand_product,conflict
FzTCKpR6OTWr2uNm,杨小禾酥脆炸鸡(洼刘新城B区店),中式,False,C:品牌映射,brand:杨小禾,整鸡/大单品,False,C:品牌映射,brand:杨小禾,裹粉炸,False,C:品牌映射,brand:杨小禾,原味,False,C:品牌映射,brand:杨小禾,档口/摊位,False,C:品牌映射,brand:杨小禾,10-15,A,中原区,科学大道,,5,1,1,0,酥脆炸蘑菇,,
G1sHTLHCz75qwDTM,老韩煸鸡·中国炸鸡(郑州正弘汇店),中式,False,C:店名推断,中国炸鸡,鸡腿+鸡翅,True,A:菜品直接证据,鸡腿;翅根;叉骨;鸡块,煸制,False,A:菜品直接证据,煸,香辣,False,A:菜品直接证据,麻辣,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,20-30,A,中原区,科学大道,口味:4.1 环境:4.1 服务:4.1,68,1,1,4,干煸有骨辣子鸡_干煸辣子鸡贝贝_招牌无骨辣子鸡_干煸辣子鸭_茶活力_新品干煸筋棒腿_片仔癀饮料_酥脆藕条_新品干煸翅根_新品干煸鸡腿筋,,
G8Or3DO8OTt4ZNAF,延庆观炸鸡(升龙又一城店),中式,False,C:品牌映射,brand:延庆观,鸡翅+鸡排+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:延庆观,卤炸,False,C:品牌映射,brand:延庆观,原味,False,C:品牌映射,brand:延庆观,档口/摊位,False,C:品牌映射,brand:延庆观,15-20,A,中原区,科学大道,口味:4.1 环境:4.0 服务:4.1,1653,1,1,0,全翅_鸡块_延庆观经典鸡排_自己做的干锅_炸鸡」「_鸡块」「_全翅」「_翅根」「_炸叉骨_茉莉蜜茶,,
G5TdRJFNNUE55yQv,秘制炸串,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,中原区,科学大道,,,,,0,,,
H46OXKgjvJEVr11p,刘婉婉生炸妙龄鸡(升龙又一城店),中式,False,C:品牌映射,brand:刘婉婉,整鸡/大单品+鸡腿+鸡架/锁骨/叉骨+鸡脖/其他部位,True,C:品牌映射,brand:刘婉婉,生炸/现炸,False,C:品牌映射,brand:刘婉婉,原味,False,C:品牌映射,brand:刘婉婉,档口/摊位,False,C:品牌映射,brand:刘婉婉,<10,A,中原区,科学大道,口味:3.5 环境:3.5 服务:3.5,28,1,1,12,鸡贝贝_鸡背肉_无骨辣子鸡_秘制炸鸡脖_无骨爆汁鸡腿肉_生炸全鸡架_生炸鸡胗胗_奶香地瓜条_无骨上腿肉,,
H3MBwZMaT6E3PCFO,正新鸡排·炸鸡烧烤(高新万达金街店),美式/西式,False,C:品牌映射,brand:正新,整鸡/大单品+鸡翅+鸡排,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,中原区,科学大道,口味:3.7 环境:3.7 服务:3.8,60,1,1,0,正新鸡排_爆款香辣大鸡排_四拼炸鸡桶_中国鸡排汉堡_爆料鸡排_正新大烤肠_现炸翅根_金锤翅根桶,,
H5UFmO1Gykf8Zk2F,鹰城小马炸鸡(登封市颍阳店),中式,False,C:品牌映射,brand:鹰城,鸡腿,False,C:品牌映射,brand:鹰城,生炸/现炸,False,C:品牌映射,brand:鹰城,原味,False,C:品牌映射,brand:鹰城,档口/摊位,False,C:品牌映射,brand:鹰城,15-20,A,登封市,登封市,,,,,0,,,
l68qIUIoeKjIpEjd,猪大顺·自助烤肉炸鸡(正弘汇店),韩式,True,A:菜品直接证据,芝士炸鸡;青阳,Unknown,False,D:无证据,,裹粉炸,False,A:菜品直接证据,粉炸,香辣+蒜香+甜辣,True,A:菜品直接证据,原味;麻辣;蒜;蜂蜜;黑胡椒;葱丝酱油;芥末,堂食+外带,False,C:店名推断,自助,50+,A,中原区,科学大道,口味:4.3 环境:4.3 服务:4.4,2491,,1,3,蒜辣炸鸡_芝士粉炸鸡_牧场小香猪_鱿鱼圈_掌中宝_麻辣牛胸膘_骰子牛肉_麻辣腿肉串_辛辣炸鸡_冰粉,,
G6umdMT5DQCY7Cgj,韩式炸鸡(二马路店),韩式,False,C:店名推断,韩式,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,二七区,火车站/二七广场,,,,,0,,,
H70p5gvCKKBPkq3V,脆鸡日记(新郑路店),Unknown,False,D:无证据,,整鸡/大单品+鸡腿+鸡翅+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,全鸡;鸡腿;翅中;牙签肉;鸡柳,Unknown,False,D:无证据,,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,二七区,火车站/二七广场,口味:3.6 环境:3.6 服务:3.6,4,1,1,0,炸翅中_全鸡_炸薯块_炸鸡柳_可乐雪碧芬达_炸翅根_超级大鸡腿_秘制牙签肉单人_可乐雪碧选二_炸脆骨肉,,
H3e7e3f4aV8dflmj,哆哆炸鸡汉堡(西溪花园店),中式,False,C:品牌映射,brand:哆哆,鸡排,False,C:品牌映射,brand:哆哆,裹粉炸,False,C:品牌映射,brand:哆哆,原味,False,C:品牌映射,brand:哆哆,档口/摊位,False,C:品牌映射,brand:哆哆,Unknown,D,中原区,瑞达路沿线,,,,,0,热辣鸿运鸡排堡,,
HadUwsWkvWWteAv5,脆皮香酥鸡鸭深海炸鱼,中式,False,C:店名推断,香酥鸡,整鸡/大单品,False,C:店名推断,香酥鸡,裹粉炸,False,C:店名推断,脆皮,原味,False,C:店名推断,香酥,Unknown,False,D:无证据,,Unknown,D,中原区,瑞达路沿线,,,,,0,,,
G72LrsY08VqKTKvR,正新鸡排·炸鸡烧烤(正新鸡排薛店),美式/西式,False,C:品牌映射,brand:正新,鸡排,False,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,新郑市,新郑机场,口味:3.5 环境:3.5 服务:3.5,38,1,1,0,爆料鸡排_中国鸡排汉堡_正新大烤肠,,
l48xt2RLY1LNI5tz,爱尚惠美炸鸡(建设路店),中式,False,C:品牌映射,brand:爱尚惠美,鸡排,False,C:品牌映射,brand:爱尚惠美,裹粉炸,False,C:品牌映射,brand:爱尚惠美,原味,False,C:品牌映射,brand:爱尚惠美,档口/摊位,False,C:品牌映射,brand:爱尚惠美,Unknown,D,中牟县,潘安公园,,,,,0,,,
F2Psrbh9YEmYtc6P,合味炸鸡(桐本路店),中式,False,A:菜品直接证据,香酥鸡,整鸡/大单品+鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;鸡翅;鸡米花,Unknown,False,D:无证据,,原味,False,A:菜品直接证据,香酥,Unknown,False,D:无证据,,Unknown,D,巩义市,星月时代广场,,,,,0,红豆馅饼_玫瑰蛋糕_包子_五香牛腱_鸡翅根_香酥鸡米花_鸡翅中_小鸡腿_大鸡腿,,
HaHyy2ekLaZzd7uM,不可炸鸡BOOCUR CHICKEN(新郑新田360新壹城店),中式,False,C:品牌映射,brand:不可,整鸡/大单品,False,C:品牌映射,brand:不可,生炸/现炸,False,C:品牌映射,brand:不可,香辣+甜辣,True,C:品牌映射,brand:不可,档口/摊位,False,C:品牌映射,brand:不可,20-30,A,新郑市,新村镇,口味:4.1 环境:4.0 服务:4.1,99,1,1,0,招牌黄金芝士粉炸鸡_黄金流心芝士球_摇摇薯条_玉米棒棒糖_泰泰酱口味炸鸡翅_墨西哥混合辣粉炸鸡_在逃方块鸡_暹罗旺仔酱_糯糯小年糕_对翅,,
l9QVuKChes3peaOl,派乐汉堡·炸鸡(中牟大润发店),美式/西式,False,C:品牌映射,brand:派乐,鸡排,False,C:品牌映射,brand:派乐,裹粉炸,False,C:品牌映射,brand:派乐,香辣+甜辣+酸甜,True,C:品牌映射,brand:派乐,外卖型,False,C:品牌映射,brand:派乐,10-15,A,中牟县,祥瑞中心花园,口味:3.9 环境:3.9 服务:3.9,22,1,1,0,真香脆鸡腿_派乐请你喝果珍_汁汁菠萝烤腿堡_至珍鲜虾堡_多C柠檬水_卤辣王炸鸡腿堡_琥珀炸鸡_多C冻柠葡萄_脆皮半边鸡_生榨鸡腿,,
k9uBHywdYhETUSur,惠客真炸鸡腿(互助路店),中式,False,C:品牌映射,brand:惠客真,整鸡/大单品+鸡腿+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:惠客真,生炸/现炸,False,C:品牌映射,brand:惠客真,原味,False,C:品牌映射,brand:惠客真,档口/摊位,False,C:品牌映射,brand:惠客真,<10,A,中原区,碧沙岗,口味:3.9 环境:3.9 服务:3.9,57,1,1,0,炸鸡腿_香骨鸡_蹦蹦鸡_麻香鸡块_超值全家桶_茉莉香酥鸡_脆骨烧_鸡肉条,,
